tpep_dropoff_datetime,tip_amount,fare_amount,tip_percentage,rank
2022-04-12T14:47:13.000+03:00,225.0,0.01,2250000.0,1
2022-04-02T20:31:43.000+03:00,125.0,0.01,1250000.0,2
2022-04-21T01:49:12.000+03:00,120.0,0.01,1200000.0,3
2022-04-12T10:54:15.000+03:00,95.0,0.01,950000.0,4
2022-04-03T09:36:29.000+03:00,40.0,0.01,400000.0,5
2022-06-25T13:01:53.000+03:00,155.0,0.01,1550000.0,1
2022-06-13T22:21:23.000+03:00,150.0,0.01,1500000.0,2
2022-06-10T01:32:27.000+03:00,65.0,0.01,650000.0,3
2022-06-16T04:41:11.000+03:00,57.0,0.01,570000.0,4
2022-06-13T00:49:36.000+03:00,52.0,0.01,520000.0,5
2022-02-21T23:18:36.000+02:00,45.0,0.01,450000.0,1
2022-02-13T07:33:56.000+02:00,29.69,0.01,296900.0,2
2022-02-09T20:01:39.000+02:00,25.0,0.01,250000.0,3
2022-02-27T17:54:33.000+02:00,25.0,0.01,250000.0,3
2022-02-24T11:57:17.000+02:00,15.0,0.01,150000.0,5
2022-05-12T03:28:16.000+03:00,75.0,0.01,750000.0,1
2022-05-12T11:43:29.000+03:00,74.0,0.01,740000.0,2
2022-05-20T01:21:10.000+03:00,65.0,0.01,650000.0,3
2022-05-15T04:25:00.000+03:00,20.0,0.01,200000.0,4
2022-05-16T05:10:46.000+03:00,20.0,0.01,200000.0,4
2022-07-01T00:00:00.000+03:00,2.0,14.0,14.285714285714285,1
2022-03-18T01:08:56.000+02:00,100.0,0.01,1000000.0,1
2022-03-21T18:57:48.000+02:00,70.0,0.01,700000.0,2
2022-03-05T03:15:12.000+02:00,20.0,0.01,200000.0,3
2022-03-26T05:22:57.000+02:00,20.0,0.01,200000.0,3
2022-03-18T19:45:30.000+02:00,12.5,0.01,125000.0,5
2022-01-09T03:07:18.000+02:00,168.88,0.01,1688800.0,1
2022-01-31T12:23:44.000+02:00,110.0,0.01,1100000.0,2
2022-01-31T15:43:58.000+02:00,63.0,0.01,630000.0,3
2022-01-01T17:18:50.000+02:00,50.0,0.01,500000.0,4
2022-01-03T18:02:50.000+02:00,25.0,0.01,250000.0,5
